# omega0=0.689, alpha=0.2
# theta0=0.4, theta_dot0=0
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
4.420115991857666e+01 -1.223113546325805e+00 3.169050963854905e-02
4.429235273870989e+01 -1.217918901021390e+00 8.222273334588287e-02
4.438354555884312e+01 -1.208121452739005e+00 1.326181755989075e-01
4.447473837897635e+01 -1.193738950045494e+00 1.827600616487574e-01
4.456593119910958e+01 -1.174800117187879e+00 2.325241289867420e-01
4.465712401924281e+01 -1.151345422276143e+00 2.817767921462379e-01
4.474831683937605e+01 -1.123428001849337e+00 3.303735585065157e-01
4.483950965950928e+01 -1.091114716031981e+00 3.781577596005573e-01
4.493070247964251e+01 -1.054487302389754e+00 4.249596670160262e-01
4.502189529977574e+01 -1.013643590136373e+00 4.705960650527293e-01
4.511308811990897e+01 -9.686987297263265e-01 5.148703525010985e-01
4.520428094004220e+01 -9.197863864185425e-01 5.575732417856072e-01
4.529547376017543e+01 -8.670598405732647e-01 5.984841138685685e-01
4.538666658030866e+01 -8.106929328272565e-01 6.373730705501335e-01
4.547785940044189e+01 -7.508807895490915e-01 6.740037013902523e-01
4.556905222057512e+01 -6.878402638130295e-01 7.081365503640430e-01
4.566024504070835e+01 -6.218100302179130e-01 7.395332284015224e-01
4.575143786084158e+01 -5.530502787613863e-01 7.679610740887247e-01
4.584263068097481e+01 -4.818419639767776e-01 7.931982190709652e-01
4.593382350110804e+01 -4.084855806422530e-01 8.150388711438028e-01
4.602501632124127e+01 -3.332994561690751e-01 8.332985913513544e-01
4.611620914137450e+01 -2.566175714173414e-01 8.478193164828903e-01
4.620740196150773e+01 -1.787869448995470e-01 8.584738694814341e-01
4.629859478164096e+01 -1.001646384993441e-01 8.651697105094199e-01
4.638978760177419e+01 -2.111446414314317e-02 8.678517119145311e-01
4.648098042190742e+01 5.799651149807173e-02 8.665037899458738e-01
4.657217324204065e+01 1.368015548284267e-01 8.611492912363568e-01
4.666336606217388e+01 2.149378302939948e-01 8.518501071688601e-01
4.675455888230711e+01 2.920498282350606e-01 8.387045672759503e-01
4.684575170244034e+01 3.677925494407301e-01 8.218442363448568e-01
4.693694452257357e+01 4.418343545357891e-01 8.014298020675529e-01
4.702813734270680e+01 5.138594055844132e-01 7.776462855657756e-01
4.711933016284003e+01 5.835696498087009e-01 7.506978327720449e-01
4.721052298297326e+01 6.506863192309872e-01 7.208023497277375e-01
4.730171580310649e+01 7.149509435368130e-01 6.881862309321368e-01
4.739290862323972e+01 7.761258949303120e-01 6.530794003407444e-01
4.748410144337295e+01 8.339945019942715e-01 6.157108440298786e-01
4.757529426350618e+01 8.883607837930382e-01 5.763047669105438e-01
4.766648708363941e+01 9.390488653366185e-01 5.350774579429107e-01
4.775767990377264e+01 9.859021411303837e-01 4.922349030832197e-01
4.784887272390587e+01 1.028782255257659e+00 4.479711456476540e-01
4.794006554403910e+01 1.067567964890602e+00 4.024673617117620e-01
4.803125836417233e+01 1.102153950021067e+00 3.558915943025022e-01
4.812245118430556e+01 1.132449626293453e+00 3.083990742996326e-01
4.821364400443879e+01 1.158378010802617e+00 2.601330472913610e-01
4.830483682457202e+01 1.179874683189638e+00 2.112260228512325e-01
4.839602964470525e+01 1.196886876797641e+00 1.618013643448971e-01
4.848722246483848e+01 1.209372727373456e+00 1.119751419416663e-01
4.857841528497171e+01 1.217300700020858e+00 6.185817760918699e-02
4.866960810510494e+01 1.220649208911414e+00 1.155821731177037e-02
4.876080092523817e+01 1.219406438624523e+00 -3.881782855199486e-02
4.885199374537140e+01 1.213570370827316e+00 -8.916163096536432e-02
4.894318656550463e+01 1.203149015172001e+00 -1.393612261947177e-01
4.903437938563786e+01 1.188160838606062e+00 -1.892988889757888e-01
4.912557220577109e+01 1.168635382573478e+00 -2.388491475618692e-01
4.921676502590432e+01 1.144614052659715e+00 -2.878769963357059e-01
4.930795784603755e+01 1.116151059961420e+00 -3.362363660551627e-01
4.939915066617078e+01 1.083314487762311e+00 -3.837689166670592e-01
4.949034348630401e+01 1.046187450967764e+00 -4.303032219985250e-01
4.958153630643724e+01 1.004869309289733e+00 -4.756544183209513e-01
4.967272912657047e+01 9.594768885963193e-01 -5.196243884155608e-01
4.976392194670370e+01 9.101456584899800e-01 -5.620025479167575e-01
4.985511476683693e+01 8.570308085279535e-01 -6.025672899993003e-01
4.994630758697016e+01 8.003081611358829e-01 -6.410881267865757e-01
5.003750040710339e+01 7.401748568613339e-01 -6.773285405405203e-01
5.012869322723662e+01 6.768497478670776e-01 -7.110495248107390e-01
5.021988604736985e+01 6.105734391271558e-01 -7.420137562618266e-01
5.031107886750308e+01 5.416079241757726e-01 -7.699902939311446e-01
5.040227168763631e+01 4.702357737447052e-01 -7.947596573610494e-01
5.049346450776954e+01 3.967588511500688e-01 -8.161190925149788e-01
5.058465732790278e+01 3.214965473888293e-01 -8.338877993382540e-01
5.067585014803601e+01 2.447835506773451e-01 -8.479118720287905e-01
5.076704296816924e+01 1.669671882946998e-01 -8.580686966831534e-01
5.085823578830247e+01 8.840440144674094e-02 -8.642705637865918e-01
5.094942860843570e+01 9.458434635593675e-03 -8.664672858808403e-01
5.104062142856893e+01 -6.950466207714688e-02 -8.646476622084839e-01
5.113181424870216e+01 -1.481196080268105e-01 -8.588396983887141e-01
5.122300706883539e+01 -2.260254292389172e-01 -8.491095644381306e-01
5.131419988896862e+01 -3.028688451890374e-01 -8.355593516663374e-01
5.140539270910185e+01 -3.783074010217596e-01 -8.183237608041365e-01
5.149658552923508e+01 -4.520122561317143e-01 -7.975659135333968e-01
5.158777834936831e+01 -5.236705596276647e-01 -7.734725223545358e-01
5.167897116950154e+01 -5.929873658248296e-01 -7.462486766165060e-01
5.177016398963477e+01 -6.596870666904613e-01 -7.161125051173984e-01
5.186135680976800e+01 -7.235143413182972e-01 -6.832899597635864e-01
5.195254962990123e+01 -7.842346434921639e-01 -6.480099338950663e-01
5.204374245003446e+01 -8.416342660582677e-01 -6.104998876510654e-01
5.213493527016769e+01 -8.955200344409808e-01 -5.709821061094630e-01
5.222612809030092e+01 -9.457186909312011e-01 -5.296706685276517e-01
5.231732091043415e+01 -9.920760364630247e-01 -4.867691626987348e-01
5.240851373056738e+01 -1.034455897891673e+00 -4.424691400132971e-01
5.249970655070061e+01 -1.072738986914702e+00 -3.969492759427754e-01
5.259089937083384e+01 -1.106821712462807e+00 -3.503751779371313e-01
5.268209219096707e+01 -1.136615002362752e+00 -3.028997678870657e-01
5.277328501110030e+01 -1.162043183024461e+00 -2.546641584356168e-01
5.286447783123353e+01 -1.183042958406425e+00 -2.057989402408667e-01
5.295567065136676e+01 -1.199562522020040e+00 -1.564257993205663e-01
5.304686347149999e+01 -1.211560828560742e+00 -1.066593883764541e-01
5.313805629163322e+01 -1.219007045088393e+00 -5.660938214372798e-02
5.322924911176645e+01 -1.221880195592402e+00 -6.382653175325053e-03
5.332044193189968e+01 -1.220169007244088e+00 4.391448988039825e-02
5.341163475203291e+01 -1.213871961561281e+00 9.417405520117936e-02
5.350282757216614e+01 -1.202997548938780e+00 1.442841631930243e-01
5.359402039229937e+01 -1.187564720354653e+00 1.941269352761474e-01
5.368521321243260e+01 -1.167603525361290e+00 2.435765285686017e-01
5.377640603256583e+01 -1.143155920541252e+00 2.924973722995560e-01
5.386759885269906e+01 -1.114276727317666e+00 3.407426662862139e-01
5.395879167283229e+01 -1.081034712282188e+00 3.881532067283851e-01
5.404998449296552e+01 -1.043513757046439e+00 4.345566089104665e-01
5.414117731309875e+01 -1.001814078142267e+00 4.797669989383876e-01
5.423237013323198e+01 -9.560534509179446e-01 5.235852460077074e-01
5.432356295336521e+01 -9.063683850558298e-01 5.657998014633639e-01
5.441475577349844e+01 -8.529151937551530e-01 6.061881997131234e-01
5.450594859363167e+01 -7.958708943779231e-01 6.445192578017046e-01
5.459714141376490e+01 -7.354338761221519e-01 6.805559845370647e-01
5.468833423389813e+01 -6.718242707639613e-01 7.140591766096821e-01
5.477952705403136e+01 -6.052839663448983e-01 7.447916392290395e-01
5.487071987416459e+01 -5.360762113729375e-01 7.725229245723030e-01
5.496191269429782e+01 -4.644847689082556e-01 7.970344360473740e-01
5.505310551443105e+01 -3.908125957303705e-01 8.181247041950597e-01
5.514429833456428e+01 -3.153800411336802e-01 8.356146057353150e-01
5.523549115469751e+01 -2.385225818382981e-01 8.493522755497331e-01
5.532668397483074e+01 -1.605881326891474e-01 8.592174563576661e-01
5.541787679496397e+01 -8.193399559225276e-02 8.651250451686648e-01
5.550906961509720e+01 -2.923529689037732e-03 8.670276299732937e-01
5.560026243523043e+01 7.607735767488975e-02 8.649168629230143e-01
5.569145525536366e+01 1.547037885846114e-01 8.588235834677101e-01
5.578264807549689e+01 2.325954457158073e-01 8.488166806481739e-01
5.587384089563012e+01 3.093999444903822e-01 8.350007608696453e-01
5.596503371576335e+01 3.847759430649220e-01 8.175127586776564e-01
5.605622653589658e+01 4.583959023236122e-01 7.965176867767572e-01
5.614741935602981e+01 5.299484279742338e-01 7.722037628936171e-01
