# Ising model in 2dimensions at kT = 2
#  time     energy  
      0     -222.000
      1     -318.000
      2     -356.000
      3     -400.000
      4     -416.000
      5     -432.000
      6     -480.000
      7     -484.000
      8     -476.000
      9     -454.000
     10     -448.000
     11     -434.000
     12     -446.000
     13     -450.000
     14     -440.000
     15     -510.000
     16     -536.000
     17     -532.000
     18     -524.000
     19     -504.000
     20     -518.000
     21     -462.000
     22     -472.000
     23     -452.000
     24     -492.000
     25     -500.000
     26     -478.000
     27     -482.000
     28     -538.000
     29     -526.000
     30     -498.000
     31     -524.000
     32     -514.000
     33     -502.000
     34     -534.000
     35     -512.000
     36     -494.000
     37     -500.000
     38     -518.000
     39     -524.000
     40     -506.000
     41     -510.000
     42     -498.000
     43     -508.000
     44     -498.000
     45     -504.000
     46     -504.000
     47     -510.000
     48     -462.000
     49     -492.000
     50     -532.000
     51     -558.000
     52     -560.000
     53     -564.000
     54     -552.000
     55     -528.000
     56     -524.000
     57     -528.000
     58     -472.000
     59     -468.000
     60     -504.000
     61     -472.000
     62     -480.000
     63     -532.000
     64     -518.000
     65     -556.000
     66     -524.000
     67     -500.000
     68     -508.000
     69     -466.000
     70     -516.000
     71     -492.000
     72     -490.000
     73     -510.000
     74     -522.000
     75     -532.000
     76     -520.000
     77     -538.000
     78     -538.000
     79     -526.000
     80     -518.000
     81     -506.000
     82     -490.000
     83     -508.000
     84     -450.000
     85     -488.000
     86     -512.000
     87     -562.000
     88     -574.000
     89     -538.000
     90     -556.000
     91     -540.000
     92     -534.000
     93     -562.000
     94     -530.000
     95     -570.000
     96     -538.000
     97     -548.000
     98     -568.000
     99     -554.000
    100     -540.000
    110     -564.000
    120     -576.000
    130     -574.000
    140     -620.000
    150     -604.000
    160     -606.000
    170     -560.000
    180     -544.000
    190     -606.000
    200     -598.000
    210     -598.000
    220     -590.000
    230     -536.000
    240     -558.000
    250     -494.000
    260     -534.000
    270     -528.000
    280     -618.000
    290     -602.000
    300     -560.000
    310     -600.000
    320     -568.000
    330     -546.000
    340     -544.000
    350     -490.000
    360     -548.000
    370     -534.000
    380     -518.000
    390     -596.000
    400     -572.000
    410     -584.000
    420     -626.000
    430     -570.000
    440     -594.000
    450     -606.000
    460     -624.000
    470     -544.000
    480     -542.000
    490     -556.000
    500     -598.000
    510     -604.000
    520     -538.000
    530     -630.000
    540     -624.000
    550     -602.000
    560     -534.000
    570     -566.000
    580     -546.000
    590     -546.000
    600     -506.000
    610     -560.000
    620     -540.000
    630     -532.000
    640     -584.000
    650     -596.000
    660     -596.000
    670     -564.000
    680     -594.000
    690     -620.000
    700     -584.000
    710     -592.000
    720     -566.000
    730     -596.000
    740     -584.000
    750     -568.000
    760     -600.000
    770     -554.000
    780     -614.000
    790     -620.000
    800     -552.000
    810     -606.000
    820     -588.000
    830     -602.000
    840     -594.000
    850     -586.000
    860     -598.000
    870     -544.000
    880     -560.000
    890     -568.000
    900     -588.000
    910     -536.000
    920     -506.000
    930     -544.000
    940     -620.000
    950     -616.000
    960     -638.000
    970     -496.000
    980     -576.000
    990     -596.000
