# Ising model in 2dimensions at kT = 1
#  time     energy  
      0     -300.000
      1     -428.000
      2     -478.000
      3     -506.000
      4     -524.000
      5     -540.000
      6     -560.000
      7     -562.000
      8     -576.000
      9     -600.000
     10     -600.000
     11     -598.000
     12     -610.000
     13     -626.000
     14     -628.000
     15     -622.000
     16     -626.000
     17     -634.000
     18     -634.000
     19     -644.000
     20     -648.000
     21     -654.000
     22     -652.000
     23     -642.000
     24     -640.000
     25     -638.000
     26     -650.000
     27     -646.000
     28     -654.000
     29     -652.000
     30     -650.000
     31     -648.000
     32     -646.000
     33     -652.000
     34     -654.000
     35     -660.000
     36     -656.000
     37     -652.000
     38     -652.000
     39     -662.000
     40     -658.000
     41     -656.000
     42     -654.000
     43     -628.000
     44     -628.000
     45     -640.000
     46     -656.000
     47     -664.000
     48     -662.000
     49     -650.000
     50     -678.000
     51     -674.000
     52     -668.000
     53     -670.000
     54     -672.000
     55     -668.000
     56     -674.000
     57     -680.000
     58     -680.000
     59     -682.000
     60     -686.000
     61     -682.000
     62     -676.000
     63     -676.000
     64     -682.000
     65     -672.000
     66     -674.000
     67     -686.000
     68     -682.000
     69     -682.000
     70     -682.000
     71     -668.000
     72     -678.000
     73     -686.000
     74     -678.000
     75     -686.000
     76     -686.000
     77     -684.000
     78     -688.000
     79     -688.000
     80     -692.000
     81     -680.000
     82     -682.000
     83     -680.000
     84     -684.000
     85     -674.000
     86     -674.000
     87     -684.000
     88     -680.000
     89     -676.000
     90     -686.000
     91     -682.000
     92     -692.000
     93     -686.000
     94     -688.000
     95     -688.000
     96     -682.000
     97     -688.000
     98     -686.000
     99     -692.000
    100     -682.000
    110     -692.000
    120     -698.000
    130     -712.000
    140     -716.000
    150     -718.000
    160     -716.000
    170     -704.000
    180     -714.000
    190     -712.000
    200     -708.000
    210     -706.000
    220     -716.000
    230     -710.000
    240     -696.000
    250     -700.000
    260     -712.000
    270     -710.000
    280     -710.000
    290     -712.000
    300     -712.000
    310     -712.000
    320     -708.000
    330     -714.000
    340     -712.000
    350     -698.000
    360     -716.000
    370     -716.000
    380     -712.000
    390     -706.000
    400     -716.000
    410     -716.000
    420     -702.000
    430     -712.000
    440     -712.000
    450     -704.000
    460     -706.000
    470     -718.000
    480     -702.000
    490     -708.000
    500     -714.000
    510     -706.000
    520     -714.000
    530     -704.000
    540     -716.000
    550     -706.000
    560     -710.000
    570     -706.000
    580     -712.000
    590     -712.000
    600     -702.000
    610     -706.000
    620     -680.000
    630     -712.000
    640     -716.000
    650     -718.000
    660     -716.000
    670     -712.000
    680     -712.000
    690     -716.000
    700     -700.000
    710     -712.000
    720     -710.000
    730     -714.000
    740     -712.000
    750     -708.000
    760     -712.000
    770     -708.000
    780     -706.000
    790     -716.000
    800     -712.000
    810     -706.000
    820     -714.000
    830     -706.000
    840     -708.000
    850     -710.000
    860     -716.000
    870     -704.000
    880     -704.000
    890     -710.000
    900     -718.000
    910     -714.000
    920     -706.000
    930     -710.000
    940     -714.000
    950     -710.000
    960     -704.000
    970     -716.000
    980     -716.000
    990     -710.000
