# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.01
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
7.7000  -1.513649873473319e-01  -3.090228603867586e-01  4.774756412080704e-02  4.522521070329125e-01
7.8000  -1.513656079123897e-01  3.090108462911167e-01  4.774385156277609e-02  4.522558153202138e-01
7.9000  -9.354972573006398e-02  8.090129374057879e-01  3.272509664449707e-01  1.727486961672899e-01
8.0000  -1.037565351184877e-06  9.999996583202229e-01  4.999996583202813e-01  2.125008451894075e-11
8.1000  9.354804611491634e-02  8.090205942920423e-01  3.272571609943247e-01  1.727424930764774e-01
8.2000  1.513649640756530e-01  3.090232412960613e-01  4.774768183056188e-02  4.522519679695108e-01
8.3000  1.513656247188578e-01  -3.090104521828916e-01  4.774372977913757e-02  4.522559157502055e-01
8.4000  9.354977619518089e-02  -8.090126806345486e-01  3.272507587137490e-01  1.727488825448646e-01
8.5000  1.102413162123658e-06  -9.999996369638291e-01  4.999996369638950e-01  2.398935220325743e-11
8.6000  -9.354799165406483e-02  -8.090208165079068e-01  3.272573407715601e-01  1.727422919455951e-01
8.7000  -1.513649408039498e-01  -3.090236222052963e-01  4.774779954044084e-02  4.522518289059852e-01
8.8000  -1.513656415253000e-01  3.090100580746318e-01  4.774360799564365e-02  4.522560161800535e-01
8.9000  -9.354982666028011e-02  8.090124238631858e-01  3.272505509824935e-01  1.727490689224746e-01
9.0000  -1.167260970292086e-06  9.999996156072705e-01  4.999996156073443e-01  2.689463592483917e-11
9.1000  9.354793719320015e-02  8.090210387236276e-01  3.272575205487287e-01  1.727420908147813e-01
9.2000  1.513649175322224e-01  3.090240031144635e-01  4.774791725044399e-02  4.522516898423367e-01
9.3000  1.513656583317163e-01  -3.090096639663373e-01  4.774348621229436e-02  4.522561166097575e-01
9.4000  9.354987712536153e-02  -8.090121670916990e-01  3.272503432512036e-01  1.727492553001193e-01
9.5000  1.232108775662405e-06  -9.999995942505456e-01  4.999995942506280e-01  2.996593566105884e-11
9.6000  -9.354788273232220e-02  -8.090212609392038e-01  3.272577003258296e-01  1.727418896840355e-01
9.7000  -1.513648942604708e-01  -3.090243840235630e-01  4.774803496057128e-02  4.522515507785650e-01
9.8000  -1.513656751381067e-01  3.090092698580083e-01  4.774336442908968e-02  4.522562170393178e-01
9.9000  -9.354992759042526e-02  8.090119103200887e-01  3.272501355198796e-01  1.727494416777992e-01
10.0000  -1.296956578269309e-06  9.999995728936557e-01  4.999995728937469e-01  3.320325139220263e-11
10.1000  9.354782827143100e-02  8.090214831546360e-01  3.272578801028634e-01  1.727416885533579e-01
10.2000  1.513648709886950e-01  3.090247649325948e-01  4.774815267082273e-02  4.522514117146699e-01
10.3000  1.513656919444711e-01  -3.090088757496446e-01  4.774324264602966e-02  4.522563174687342e-01
10.4000  9.354997805547122e-02  -8.090116535483546e-01  3.272499277885215e-01  1.727496280555141e-01
10.5000  1.361804378071166e-06  -9.999995515365999e-01  4.999995515367005e-01  3.660658309480850e-11
10.6000  -9.354777381052660e-02  -8.090217053699240e-01  3.272580598798301e-01  1.727414874227486e-01
10.7000  -1.513648477168951e-01  -3.090251458415589e-01  4.774827038119837e-02  4.522512726506520e-01
10.8000  -1.513657087508097e-01  3.090084816412465e-01  4.774312086311429e-02  4.522564178980074e-01
10.9000  -9.355002852049948e-02  8.090113967764967e-01  3.272497200571291e-01  1.727498144332642e-01
11.0000  -1.426652175156445e-06  9.999995301793787e-01  4.999995301794891e-01  4.017593075231578e-11
11.1000  9.354771934960890e-02  8.090219275850679e-01  3.272582396567294e-01  1.727412862922073e-01
11.2000  1.513648244450709e-01  3.090255267504552e-01  4.774838809169815e-02  4.522511335865104e-01
11.3000  1.513657255571223e-01  -3.090080875328137e-01  4.774299908034352e-02  4.522565183271366e-01
11.4000  9.355007898551004e-02  -8.090111400045151e-01  3.272495123257026e-01  1.727500008110494e-01
11.5000  1.491499969474841e-06  -9.999995088219920e-01  4.999995088221126e-01  4.391129434089829e-11
11.6000  -9.354766488867797e-02  -8.090221498000676e-01  3.272584194335615e-01  1.727410851617342e-01
11.7000  -1.513648011732225e-01  -3.090259076592840e-01  4.774850580232216e-02  4.522509945222455e-01
11.8000  -1.513657423634089e-01  3.090076934243460e-01  4.774287729771730e-02  4.522566187561220e-01
11.9000  -9.355012945050281e-02  8.090108832324096e-01  3.272493045942417e-01  1.727501871888694e-01
12.0000  -1.556347761002067e-06  9.999994874644392e-01  4.999994874645706e-01  4.781267383781340e-11
12.1000  9.354761042773373e-02  8.090223720149229e-01  3.272585992103261e-01  1.727408840313291e-01
12.2000  1.513647779013498e-01  3.090262885680449e-01  4.774862351307028e-02  4.522508554578572e-01
12.3000  1.513657591696697e-01  -3.090072993158439e-01  4.774275551523578e-02  4.522567191849640e-01
12.4000  9.355017991547793e-02  -8.090106264601810e-01  3.272490968627472e-01  1.727503735667248e-01
12.5000  1.621195549764143e-06  -9.999994661067215e-01  4.999994661068640e-01  5.188006922328961e-11
12.6000  -9.354755596677633e-02  -8.090225942296344e-01  3.272587789870238e-01  1.727406829009925e-01
12.7000  -1.513647546294530e-01  -3.090266694767383e-01  4.774874122394263e-02  4.522507163933460e-01
12.8000  -1.513657759759046e-01  3.090069052073071e-01  4.774263373289885e-02  4.522568196136622e-01
12.9000  -9.355023038043528e-02  8.090103696878282e-01  3.272488891312182e-01  1.727505599446151e-01
13.0000  -1.686043335769744e-06  9.999994447488383e-01  4.999994447489924e-01  5.611348047666716e-11
13.1000  9.354750150580567e-02  8.090228164442019e-01  3.272589587636544e-01  1.727404817707240e-01
13.2000  1.513647313575320e-01  3.090270503853640e-01  4.774885893493915e-02  4.522505773287118e-01
13.3000  1.513657927821136e-01  -3.090065110987358e-01  4.774251195070656e-02  4.522569200422168e-01
13.4000  9.355028084537491e-02  -8.090101129153517e-01  3.272486813996551e-01  1.727507463225406e-01
13.5000  1.750891119022338e-06  -9.999994233907891e-01  4.999994233909553e-01  6.051290757701541e-11
13.6000  -9.354744704482169e-02  -8.090230386586249e-01  3.272591385402174e-01  1.727402806405234e-01
13.7000  -1.513647080855868e-01  -3.090274312939220e-01  4.774897664605983e-02  4.522504382639537e-01
13.8000  -1.513658095882967e-01  3.090061169901297e-01  4.774239016865886e-02  4.522570204706274e-01
13.9000  -9.355033131029683e-02  8.090098561427519e-01  3.272484736680580e-01  1.727509327005011e-01
14.0000  -1.815738899462946e-06  9.999994020325749e-01  4.999994020327537e-01  6.507835049896265e-11
14.1000  9.354739258382457e-02  8.090232608729040e-01  3.272593183167135e-01  1.727400795103914e-01
14.2000  1.513646848136174e-01  3.090278122024121e-01  4.774909435730464e-02  4.522502991990731e-01
14.3000  1.513658263944538e-01  -3.090057228814895e-01  4.774226838675594e-02  4.522571208988948e-01
14.4000  9.355038177520099e-02  -8.090095993700283e-01  3.272482659364268e-01  1.727511190784966e-01
14.5000  1.880586677119322e-06  -9.999993806741948e-01  4.999993806743866e-01  6.980980922297277e-11
14.6000  -9.354733812281418e-02  -8.090234830870386e-01  3.272594980931420e-01  1.727398783803274e-01
14.7000  -1.513646615416238e-01  -3.090281931108346e-01  4.774921206867365e-02  4.522501601340689e-01
14.8000  -1.513658432005851e-01  3.090053287728143e-01  4.774214660499754e-02  4.522572213270184e-01
14.9000  -9.355043224008748e-02  8.090093425971814e-01  3.272480582047618e-01  1.727513054565274e-01
15.0000  -1.945434452005346e-06  9.999993593156499e-01  4.999993593158551e-01  7.470728372872797e-11

