2   1.6e-05 seconds
3   4e-05 seconds
4   4e-06 seconds
5   4e-06 seconds
6   4e-06 seconds
7   5e-06 seconds
8   5e-06 seconds
9   7e-06 seconds
10   8e-06 seconds
11   1.1e-05 seconds
12   1.4e-05 seconds
13   1.5e-05 seconds
14   1.9e-05 seconds
15   2.2e-05 seconds
16   2.4e-05 seconds
17   2.5e-05 seconds
18   3e-05 seconds
19   3.2e-05 seconds
20   3.6e-05 seconds
21   4e-05 seconds
22   4.5e-05 seconds
23   5.2e-05 seconds
24   5.6e-05 seconds
25   8.1e-05 seconds
26   0.000103 seconds
27   0.000113 seconds
28   0.000125 seconds
29   0.000128 seconds
30   0.000146 seconds
31   0.000103 seconds
32   0.000115 seconds
33   0.000126 seconds
34   0.000143 seconds
35   0.000151 seconds
36   0.00019 seconds
37   0.000214 seconds
38   0.000341 seconds
39   0.000371 seconds
40   0.000353 seconds
41   0.00039 seconds
42   0.000404 seconds
43   0.000438 seconds
44   0.000474 seconds
45   0.00051 seconds
46   0.000514 seconds
47   0.00053 seconds
48   0.000427 seconds
49   0.000369 seconds
50   0.000392 seconds
51   0.000415 seconds
52   0.000427 seconds
53   0.000461 seconds
54   0.000547 seconds
55   0.000593 seconds
56   0.000551 seconds
57   0.000598 seconds
58   0.000633 seconds
59   0.000665 seconds
60   0.000887 seconds
61   0.00087 seconds
62   0.000873 seconds
63   0.000843 seconds
64   0.000925 seconds
65   0.000938 seconds
66   0.000852 seconds
67   0.000901 seconds
68   0.000957 seconds
69   0.000997 seconds
70   0.000997 seconds
71   0.00105 seconds
72   0.00111 seconds
73   0.0012 seconds
74   0.0012 seconds
75   0.00134 seconds
76   0.00201 seconds
77   0.0017 seconds
78   0.00136 seconds
79   0.00138 seconds
80   0.0015 seconds
81   0.00155 seconds
82   0.00223 seconds
83   0.00215 seconds
84   0.00207 seconds
85   0.00213 seconds
86   0.0022 seconds
87   0.00235 seconds
88   0.00236 seconds
89   0.00254 seconds
90   0.00248 seconds
91   0.00271 seconds
92   0.00272 seconds
93   0.00292 seconds
94   0.00298 seconds
95   0.00303 seconds
96   0.0027 seconds
97   0.00259 seconds
98   0.00281 seconds
99   0.00267 seconds
100   0.00284 seconds
101   0.00288 seconds
102   0.003 seconds
103   0.00308 seconds
104   0.0032 seconds
105   0.00479 seconds
106   0.00392 seconds
107   0.00345 seconds
108   0.00349 seconds
